title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Thuần tình Lục thiếu,222,27750414,9781,51360,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Nhất đẳng gia đinh,267,27746409,2062,66631,Manhua,Martial Arts,,,,,,,,,,,,,,,
Trở Về Làm Đại Lão Thời Mạt Thế,217,27688307,2507,101078,Action,Adventure,Chuyển Sinh,Manhua,,,,,,,,,,,,,
Bạn Gái Zombie Của Tôi,299,27635157,7915,91792,Action,Adventure,Manhua,,,,,,,,,,,,,,
Tu Chân Giả Tại Dị Thế,325,27608920,3168,35172,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Thiên Tài Khốc Bảo: Tổng Tài Sủng Thê Quá Cường Hãn,208,27558089,10516,94740,Comedy,Drama,Manhua,Romance,Shoujo,,,,,,,,,,,,
Đại chúa tể,336,27490308,5277,66585,Adventure,Manhua,Mystery,,,,,,,,,,,,,,
Khóa Chặt Đôi Môi,150,27052796,13585,54150,Manhua,Ngôn Tình,,,,,,,,,,,,,,,
Gả Cho Một Tên Thái Giám Đáng Ghét,199,26838376,15896,50672,Comedy,Manhua,Ngôn Tình,Xuyên Không,,,,,,,,,,,,,
Đế Vương Trắc,257,26542252,8509,56299,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Lưỡng bất nghi,176,26246743,6303,25818,Comedy,Historical,Manhua,Romance,,,,,,,,,,,,,
Cô Vợ Mang Thai Một Tặng Một,167,26131421,6980,143339,Comedy,Comic,Manhua,Ngôn Tình,Romance,Smut,,,,,,,,,,,
Giản Giới,173,25856104,4040,69280,Action,Manhua,,,,,,,,,,,,,,,
Linh Võ Đế Tôn,248,25696231,4148,44598,Fantasy,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,,
Vườn Trường Cuồng Sư Hệ Thống,244,25493131,2425,62548,Action,Fantasy,Manhua,,,,,,,,,,,,,,
Cửu Dương Đế Tôn,190,25383306,2160,40728,Action,Manhua,Mystery,,,,,,,,,,,,,,
Võ Nghịch,219,25342685,2348,94653,Action,Adventure,Manhua,,,,,,,,,,,,,,
Thú Nhân,292,25264027,1685,38654,Action,Fantasy,Manhua,Martial Arts,Xuyên Không,,,,,,,,,,,,
Ma Thú Kiếm Thánh Dị Giới Tung Hoành,251,25240686,2960,83264,Manhua,,,,,,,,,,,,,,,,
Đấu Chiến Cuồng Triều,343,25222693,5149,30618,Adventure,Fantasy,Manhua,,,,,,,,,,,,,,
Tôi Là Thần Y,197,25078378,1716,55607,Fantasy,Manhua,Xuyên Không,,,,,,,,,,,,,,
Lại Gặp Được Em,124,24953756,14161,147281,Manhua,Romance,School Life,Shoujo,,,,,,,,,,,,,
Tây Du,284,24907935,3292,27434,Action,Adventure,Manhua,Martial Arts,,,,,,,,,,,,,
Đệ Tử Của Ta Đều Là Súp Bờ Thần,148,24867692,8390,153354,Action,Adventure,Comedy,Fantasy,Manhua,,,,,,,,,,,,
Hào Môn Đệ Nhất Thịnh Hôn,170,24859743,7001,19511,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Hoàng Hậu Nương Nương Đích Năm Xu Đặc Hiệu,232,24824798,21148,35316,Drama,Manhua,Romance,Shoujo,Xuyên Không,,,,,,,,,,,,
Ảnh Hậu Lão Bà Không Được Chạy,159,24803774,14125,46904,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Thả Vu Nữ Đó Ra,376,24614554,7337,57945,Action,Adventure,Drama,Fantasy,Harem,Historical,Seinen,Supernatural,Webtoon,,,,,,,,
Cao Thủ Cận Vệ Của Hoa Khôi,404,24487250,3185,26089,Harem,Manhua,Martial Arts,School Life,Supernatural,,,,,,,,,,,,
Ám Hắc Hệ Noãn Hôn,1492,24467834,6704,121407,Manhua,Ngôn Tình,,,,,,,,,,,,,,,
Vương Bài Giáo Thảo,239,24453755,18971,23140,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,Smut,,,,,,,,,,,
Tu Tiên Giả Đại Chiến Siêu Năng Lực,163,24442726,20000,136388,Action,Manhua,Mystery,,,,,,,,,,,,,,
Đô Thị Cực Phẩm Y Tiên,412,24429967,1824,25781,Action,Manhua,Mystery,,,,,,,,,,,,,,
Y Võ Chí Tôn,338,24311977,1510,47707,Manhua,,,,,,,,,,,,,,,,
"Không Gả Cho Tổng Tài, Gả Cho Người Hầu",180,24276023,26702,25194,Comedy,Drama,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,
Mạt Thế Siêu Cấp Hệ Thống,223,24272102,2750,70694,Action,Adventure,Manhua,,,,,,,,,,,,,,
999 Nụ Hôn Bá Đạo Của Nam Thần,446,24270056,16545,15069,Manhua,Mystery,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,
Dị Thế Tà Quân,184,24245219,2996,69160,Adventure,Manhua,Mystery,Supernatural,Webtoon,,,,,,,,,,,,
